id,tag,level,question_kr,question_en
284,체스 하기,5,체스 하기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing 체스 하기, and how did you overcome them?"
285,축구,4,축구를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,How often do you engage in soccer and where do you usually go?
286,주식 투자,5,주식 투자와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,Have you ever recommended stock investing to someone? What was their reaction?
287,축구,5,축구를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,How has your interest in soccer changed over time?
288,당구 치기,5,당구 치기를 꾸준히 하기 위해 어떤 노력을 하시나요?,What impact does playing billiards have on your daily life or mood?
289,콘서트 보기,6,콘서트 보기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy attending concerts anymore, what would you replace it with and why?"
290,배드민턴,5,배드민턴를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does badminton have on your daily life or mood?
291,콘서트 보기,6,콘서트 보기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Compare attending concerts with another hobby you enjoy. What are the key differences?
292,뉴스를 보거나 듣기,6,뉴스를 보거나 듣기를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Compare watching or listening to news with another hobby you enjoy. What are the key differences?
293,태권도,4,태권도를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,What do you enjoy the most about 태권도?
294,TV시청 하기,4,TV시청 하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Describe a typical time when you enjoy watching TV.
295,신문 읽기,5,신문 읽기와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How has your interest in reading newspapers changed over time?
296,탁구,6,탁구를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,"If you couldn’t enjoy table tennis anymore, what would you replace it with and why?"
297,탁구,5,탁구를 꾸준히 하기 위해 어떤 노력을 하시나요?,How has your interest in table tennis changed over time?
298,골프,5,골프를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,What impact does golf have on your daily life or mood?
299,친구들과 문자 대화,4,친구들과 문자 대화를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,What do you enjoy the most about texting with friends?
300,당구 치기,6,"당구 치기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",What social or cultural significance does playing billiards have in your country?
301,콘서트 보기,6,콘서트 보기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,How would you introduce attending concerts to someone from another country?
302,해외출장,5,해외출장를 꾸준히 하기 위해 어떤 노력을 하시나요?,"What challenges have you faced while doing business trips abroad, and how did you overcome them?"
303,주식 투자,4,주식 투자를 하게 된 특별한 계기가 있었나요?,How often do you engage in stock investing and where do you usually go?
304,시험 대비 과정 수강,6,시험 대비 과정 수강를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Describe a memorable or unusual experience related to taking test prep courses.
305,사진 촬영하기,5,사진 촬영하기를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,"What challenges have you faced while doing taking photos, and how did you overcome them?"
306,여행 관련 잡지나 블로그 읽기,6,여행 관련 잡지나 블로그 읽기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,What social or cultural significance does reading travel blogs or magazines have in your country?
307,해외출장,4,해외출장를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start business trips abroad and why?
308,콘서트 보기,5,콘서트 보기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,What impact does attending concerts have on your daily life or mood?
309,차 드라이브 하기,6,차 드라이브 하기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does driving have in your country?
310,걷기,5,걷기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,How has your interest in walking changed over time?
311,TV시청 하기,6,TV시청 하기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy watching TV anymore, what would you replace it with and why?"
312,하키,6,"하키를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",How would you introduce 하키 to someone from another country?
313,자전거,5,자전거를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does biking have on your daily life or mood?
314,태권도,5,태권도를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,Have you ever recommended 태권도 to someone? What was their reaction?
315,혼자 노래 부르거나 합창,4,혼자 노래 부르거나 합창를 하게 된 특별한 계기가 있었나요?,How often do you engage in singing alone or in choir and where do you usually go?
316,미식축구,4,미식축구를 하게 된 특별한 계기가 있었나요?,When did you first start American football and why?
317,음악 감상하기,4,음악 감상하기를 즐기기에 가장 좋은 장소는 어디인가요?,When did you first start listening to music and why?
318,뉴스를 보거나 듣기,6,뉴스를 보거나 듣기를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,How would you introduce watching or listening to news to someone from another country?
319,요가,6,요가와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does yoga have in your country?
320,뉴스를 보거나 듣기,5,뉴스를 보거나 듣기를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does watching or listening to news have on your daily life or mood?
321,운동 수업 수강하기,4,운동 수업 수강하기를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy taking fitness classes.
322,미식축구,6,"미식축구를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",How would you introduce American football to someone from another country?
323,춤추기,4,춤추기를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy dancing.
324,SNS에 글 올리기,4,SNS에 글 올리기를 하게 된 특별한 계기가 있었나요?,Do you prefer to do posting on social media alone or with others? Why?
325,공연 보기,6,공연 보기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Compare watching performances with another hobby you enjoy. What are the key differences?
326,글쓰기,6,글쓰기를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,What social or cultural significance does writing have in your country?
327,악기 연주하기,6,악기 연주하기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Compare playing musical instruments with another hobby you enjoy. What are the key differences?
328,하키,6,하키를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,What social or cultural significance does 하키 have in your country?
329,술집/바에 가기,5,술집/바에 가기를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,Have you ever recommended going to pubs or bars to someone? What was their reaction?
330,술집/바에 가기,4,술집/바에 가기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Do you prefer to do going to pubs or bars alone or with others? Why?
331,차 드라이브 하기,4,차 드라이브 하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Describe a typical time when you enjoy driving.
332,수영,6,수영와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Describe a memorable or unusual experience related to swimming.
333,"하이킹, 트레킹",6,"하이킹, 트레킹를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",How would you introduce hiking/trekking to someone from another country?
334,테니스,4,테니스를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy tennis.
335,배구,6,배구와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does volleyball have in your country?
336,SNS에 글 올리기,6,SNS에 글 올리기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,"If you couldn’t enjoy posting on social media anymore, what would you replace it with and why?"
337,글쓰기,4,글쓰기를 하게 된 특별한 계기가 있었나요?,Do you prefer to do writing alone or with others? Why?
338,자원봉사,6,"자원봉사를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",Describe a memorable or unusual experience related to volunteering.
339,자전거,4,자전거를 하게 된 특별한 계기가 있었나요?,What do you enjoy the most about biking?
340,애완동물 키우기,4,애완동물 키우기를 하게 된 특별한 계기가 있었나요?,Describe a typical time when you enjoy raising pets.
341,클럽/나이트클럽 가기,5,클럽/나이트클럽 가기를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,How has your interest in going to clubs or nightclubs changed over time?
342,헬스,5,헬스를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,Have you ever recommended working out to someone? What was their reaction?
343,태권도,6,태권도를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,How would you introduce 태권도 to someone from another country?
344,국내 여행,6,국내 여행를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,How would you introduce domestic travel to someone from another country?
345,당구 치기,4,당구 치기는 평소에 어떤 방식으로 즐기시나요?,Do you prefer to do playing billiards alone or with others? Why?
346,술집/바에 가기,4,술집/바에 가기를 즐기기에 가장 좋은 장소는 어디인가요?,What do you enjoy the most about going to pubs or bars?
347,구직활동하기,4,구직활동하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Describe a typical time when you enjoy job hunting.
348,야구/소프트볼,5,야구/소프트볼를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,How has your interest in baseball/softball changed over time?
349,시험 대비 과정 수강,6,시험 대비 과정 수강가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,How would you introduce taking test prep courses to someone from another country?
350,여행 관련 잡지나 블로그 읽기,6,"여행 관련 잡지나 블로그 읽기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",Compare reading travel blogs or magazines with another hobby you enjoy. What are the key differences?
351,해외출장,4,해외출장를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,Do you prefer to do business trips abroad alone or with others? Why?
352,공원 가기,4,공원 가기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Describe a typical time when you enjoy going to parks.
353,축구,6,축구를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare soccer with another hobby you enjoy. What are the key differences?
354,"하이킹, 트레킹",4,"하이킹, 트레킹는 평소에 어떤 방식으로 즐기시나요?",When did you first start hiking/trekking and why?
355,자원봉사,4,자원봉사를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,Do you prefer to do volunteering alone or with others? Why?
356,그림 그리기,6,그림 그리기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Describe a memorable or unusual experience related to drawing.
357,해외출장,4,해외출장를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy business trips abroad.
358,주식 투자,5,주식 투자를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does stock investing have on your daily life or mood?
359,아이에게 책 읽어주기,4,아이에게 책 읽어주기를 하게 된 특별한 계기가 있었나요?,How often do you engage in reading to children and where do you usually go?
360,축구,5,축구와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How do you balance your schedule to continue doing soccer regularly?
361,해외출장,6,해외출장가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,What social or cultural significance does business trips abroad have in your country?
362,사진 촬영하기,4,사진 촬영하기를 즐기기에 가장 좋은 장소는 어디인가요?,Do you prefer to do taking photos alone or with others? Why?
363,조깅,6,조깅를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,What social or cultural significance does jogging have in your country?
364,해외 여행,4,해외 여행를 즐기기에 가장 좋은 장소는 어디인가요?,What do you enjoy the most about international travel?
365,태권도,5,태권도와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How has your interest in 태권도 changed over time?
366,국내 여행,6,국내 여행를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,"If you couldn’t enjoy domestic travel anymore, what would you replace it with and why?"
367,술집/바에 가기,5,술집/바에 가기를 꾸준히 하기 위해 어떤 노력을 하시나요?,"What challenges have you faced while doing going to pubs or bars, and how did you overcome them?"
368,캠핑 하기,6,캠핑 하기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,How would you introduce camping to someone from another country?
369,캠핑 하기,4,캠핑 하기는 평소에 어떤 방식으로 즐기시나요?,Do you prefer to do camping alone or with others? Why?
370,악기 연주하기,5,악기 연주하기를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,"What challenges have you faced while doing playing musical instruments, and how did you overcome them?"
371,혼자 노래 부르거나 합창,5,혼자 노래 부르거나 합창를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does singing alone or in choir have on your daily life or mood?
372,"하이킹, 트레킹",5,"하이킹, 트레킹를 할 때 가장 성취감을 느끼는 순간은 언제인가요?",Have you ever recommended hiking/trekking to someone? What was their reaction?
373,헬스,6,헬스가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,How would you introduce working out to someone from another country?
374,카페/커피전문점 가기,6,카페/커피전문점 가기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Compare visiting cafes with another hobby you enjoy. What are the key differences?
375,게임하기,4,게임하기는 평소에 어떤 방식으로 즐기시나요?,Do you prefer to do 게임하기 alone or with others? Why?
376,골프,5,골프를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How do you balance your schedule to continue doing golf regularly?
377,스키/스노보드,6,스키/스노보드를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Describe a memorable or unusual experience related to skiing/snowboarding.
378,구직활동하기,4,구직활동하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,When did you first start job hunting and why?
379,축구,6,축구와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does soccer have in your country?
380,야구/소프트볼,5,야구/소프트볼를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does baseball/softball have on your daily life or mood?
381,차 드라이브 하기,5,차 드라이브 하기를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,What impact does driving have on your daily life or mood?
382,혼자 노래 부르거나 합창,5,혼자 노래 부르거나 합창를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,Have you ever recommended singing alone or in choir to someone? What was their reaction?
383,사진 촬영하기,6,사진 촬영하기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,How would you introduce taking photos to someone from another country?
384,헬스,5,헬스와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,What impact does working out have on your daily life or mood?
385,요가,5,요가를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,"What challenges have you faced while doing yoga, and how did you overcome them?"
386,테니스,4,테니스를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,How often do you engage in tennis and where do you usually go?
387,체스 하기,4,체스 하기를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,Describe a typical time when you enjoy 체스 하기.
388,차 드라이브 하기,4,차 드라이브 하기를 즐기기에 가장 좋은 장소는 어디인가요?,When did you first start driving and why?
389,그림 그리기,5,그림 그리기를 꾸준히 하기 위해 어떤 노력을 하시나요?,"What challenges have you faced while doing drawing, and how did you overcome them?"
390,캠핑 하기,5,캠핑 하기를 꾸준히 하기 위해 어떤 노력을 하시나요?,"What challenges have you faced while doing camping, and how did you overcome them?"
391,춤추기,6,"춤추기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",What social or cultural significance does dancing have in your country?
392,춤추기,6,춤추기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare dancing with another hobby you enjoy. What are the key differences?
393,구직활동하기,6,"구직활동하기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.","If you couldn’t enjoy job hunting anymore, what would you replace it with and why?"
394,애완동물 키우기,4,애완동물 키우기를 하게 된 특별한 계기가 있었나요?,What do you enjoy the most about raising pets?
395,배구,4,배구를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start volleyball and why?
396,헬스,5,헬스를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,How do you balance your schedule to continue doing working out regularly?
397,TV시청 하기,4,TV시청 하기를 즐기기에 가장 좋은 장소는 어디인가요?,When did you first start watching TV and why?
398,게임하기,6,게임하기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,How would you introduce 게임하기 to someone from another country?
399,조깅,5,조깅를 꾸준히 하기 위해 어떤 노력을 하시나요?,How has your interest in jogging changed over time?
400,수영,4,수영를 하게 된 특별한 계기가 있었나요?,How often do you engage in swimming and where do you usually go?
401,요리하기,4,요리하기를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,Describe a typical time when you enjoy cooking.
402,"하이킹, 트레킹",6,"하이킹, 트레킹와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.",Compare hiking/trekking with another hobby you enjoy. What are the key differences?
403,독서,4,독서를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,Do you prefer to do reading books alone or with others? Why?
404,술집/바에 가기,6,술집/바에 가기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare going to pubs or bars with another hobby you enjoy. What are the key differences?
405,하키,5,하키를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How has your interest in 하키 changed over time?
406,걷기,6,걷기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does walking have in your country?
407,클럽/나이트클럽 가기,6,클럽/나이트클럽 가기를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Describe a memorable or unusual experience related to going to clubs or nightclubs.
408,요가,6,요가가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Describe a memorable or unusual experience related to yoga.
409,리얼리티 쇼 시청,4,리얼리티 쇼 시청를 하게 된 특별한 계기가 있었나요?,What do you enjoy the most about watching reality shows?
410,탁구,6,탁구를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare table tennis with another hobby you enjoy. What are the key differences?
411,걷기,5,걷기를 꾸준히 하기 위해 어떤 노력을 하시나요?,How do you balance your schedule to continue doing walking regularly?
412,농구,4,농구를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start basketball and why?
413,클럽/나이트클럽 가기,4,클럽/나이트클럽 가기는 평소에 어떤 방식으로 즐기시나요?,What do you enjoy the most about going to clubs or nightclubs?
414,친구들과 문자 대화,5,친구들과 문자 대화를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,How has your interest in texting with friends changed over time?
415,자전거,5,자전거를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing biking, and how did you overcome them?"
416,크로켓,4,크로켓를 하게 된 특별한 계기가 있었나요?,Do you prefer to do croquet alone or with others? Why?
417,공연 보기,6,공연 보기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does watching performances have in your country?
418,뉴스를 보거나 듣기,4,뉴스를 보거나 듣기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,When did you first start watching or listening to news and why?
419,TV시청 하기,6,TV시청 하기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare watching TV with another hobby you enjoy. What are the key differences?
420,낚시,4,낚시를 하게 된 특별한 계기가 있었나요?,What do you enjoy the most about fishing?
421,운동 수업 수강하기,6,운동 수업 수강하기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,How would you introduce taking fitness classes to someone from another country?
422,그림 그리기,5,그림 그리기와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,What impact does drawing have on your daily life or mood?
423,클럽/나이트클럽 가기,6,클럽/나이트클럽 가기를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Compare going to clubs or nightclubs with another hobby you enjoy. What are the key differences?
424,여행 관련 잡지나 블로그 읽기,6,여행 관련 잡지나 블로그 읽기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Describe a memorable or unusual experience related to reading travel blogs or magazines.
425,요리 관련 프로그램 시청,5,요리 관련 프로그램 시청를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How do you balance your schedule to continue doing watching cooking shows regularly?
426,뉴스를 보거나 듣기,4,뉴스를 보거나 듣기는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in watching or listening to news and where do you usually go?
427,낚시,6,낚시가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Compare fishing with another hobby you enjoy. What are the key differences?
428,요리하기,6,"요리하기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",How would you introduce cooking to someone from another country?
429,아이에게 책 읽어주기,5,아이에게 책 읽어주기를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How has your interest in reading to children changed over time?
430,골프,5,골프를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,"What challenges have you faced while doing golf, and how did you overcome them?"
431,게임하기,5,게임하기를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does 게임하기 have on your daily life or mood?
432,여행 관련 잡지나 블로그 읽기,6,여행 관련 잡지나 블로그 읽기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy reading travel blogs or magazines anymore, what would you replace it with and why?"
433,요리 관련 프로그램 시청,4,요리 관련 프로그램 시청를 하게 된 특별한 계기가 있었나요?,What do you enjoy the most about watching cooking shows?
434,운동 수업 수강하기,5,운동 수업 수강하기를 꾸준히 하기 위해 어떤 노력을 하시나요?,How do you balance your schedule to continue doing taking fitness classes regularly?
435,춤추기,4,춤추기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,What do you enjoy the most about dancing?
436,주식 투자,4,주식 투자를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy stock investing.
437,헬스,4,헬스를 하게 된 특별한 계기가 있었나요?,Describe a typical time when you enjoy working out.
438,사진 촬영하기,4,사진 촬영하기를 즐기기에 가장 좋은 장소는 어디인가요?,What do you enjoy the most about taking photos?
439,친구들과 문자 대화,5,친구들과 문자 대화를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,How do you balance your schedule to continue doing texting with friends regularly?
440,술집/바에 가기,4,술집/바에 가기를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start going to pubs or bars and why?
441,"하이킹, 트레킹",4,"하이킹, 트레킹를 하면서 느끼는 감정을 구체적으로 설명해 주세요.",Do you prefer to do hiking/trekking alone or with others? Why?
442,혼자 노래 부르거나 합창,4,혼자 노래 부르거나 합창를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,What do you enjoy the most about singing alone or in choir?
443,수영,5,수영를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,What impact does swimming have on your daily life or mood?
444,시험 대비 과정 수강,4,시험 대비 과정 수강를 즐기기에 가장 좋은 장소는 어디인가요?,What do you enjoy the most about taking test prep courses?
445,체스 하기,4,체스 하기를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start 체스 하기 and why?
446,골프,4,골프를 하게 된 특별한 계기가 있었나요?,Describe a typical time when you enjoy golf.
447,해외출장,5,해외출장를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,Have you ever recommended business trips abroad to someone? What was their reaction?
448,낚시,4,낚시는 평소에 어떤 방식으로 즐기시나요?,Describe a typical time when you enjoy fishing.
449,주거 개선,5,주거 개선를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,Have you ever recommended improving living space to someone? What was their reaction?
450,국내출장,4,국내출장는 평소에 어떤 방식으로 즐기시나요?,Do you prefer to do business trips in Korea alone or with others? Why?
451,크로켓,5,크로켓를 꾸준히 하기 위해 어떤 노력을 하시나요?,"What challenges have you faced while doing croquet, and how did you overcome them?"
452,아이스 스케이트,6,"아이스 스케이트를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",Compare ice skating with another hobby you enjoy. What are the key differences?
453,카페/커피전문점 가기,6,카페/커피전문점 가기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,"If you couldn’t enjoy visiting cafes anymore, what would you replace it with and why?"
454,집에서 보내는 휴가,5,집에서 보내는 휴가를 꾸준히 하기 위해 어떤 노력을 하시나요?,How has your interest in staycations changed over time?
455,친구들과 문자 대화,4,친구들과 문자 대화를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start texting with friends and why?
456,국내출장,6,국내출장가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy business trips in Korea anymore, what would you replace it with and why?"
457,시험 대비 과정 수강,5,시험 대비 과정 수강를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How do you balance your schedule to continue doing taking test prep courses regularly?
458,해외출장,6,해외출장와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Compare business trips abroad with another hobby you enjoy. What are the key differences?
459,헬스,5,헬스와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,"What challenges have you faced while doing working out, and how did you overcome them?"
460,자원봉사,5,자원봉사를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,What impact does volunteering have on your daily life or mood?
461,캠핑 하기,6,캠핑 하기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy camping anymore, what would you replace it with and why?"
462,요리 관련 프로그램 시청,5,요리 관련 프로그램 시청를 꾸준히 하기 위해 어떤 노력을 하시나요?,What impact does watching cooking shows have on your daily life or mood?
463,체스 하기,5,체스 하기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,What impact does 체스 하기 have on your daily life or mood?
464,공원 가기,6,공원 가기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Describe a memorable or unusual experience related to going to parks.
465,골프,6,골프를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,"If you couldn’t enjoy golf anymore, what would you replace it with and why?"
466,운동 수업 수강하기,6,운동 수업 수강하기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,"If you couldn’t enjoy taking fitness classes anymore, what would you replace it with and why?"
467,혼자 노래 부르거나 합창,5,혼자 노래 부르거나 합창를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing singing alone or in choir, and how did you overcome them?"
468,주식 투자,4,주식 투자를 하게 된 특별한 계기가 있었나요?,Do you prefer to do stock investing alone or with others? Why?
469,운동 수업 수강하기,6,"운동 수업 수강하기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",What social or cultural significance does taking fitness classes have in your country?
